customer,overageMax,overageMin,revenueTotal,overage,recchrge,revenue,revenueChange,custcareTotal,mouTotal,custcare,custcareLast,directas,directasLast,dropvce,dropvceLast,mou,mouChange,outcalls,peakOffPeak,peakOffPeakLast,roam,occupation,regionType,marry,children,income,credit,creditCard,churn
1000001,0,0,23.98,0,22.5,23.98,,0,235.85855386,0,0,0,0,1,1,235.85855386,,88,2.3846153846,2.3846153846,0,professional,suburban,no,false,4,a,true,true
1000004,0,0,231.96,0,38,38.66,0.6459549625,0,44.93597864,0,0,0,0,0,0,7.4893297733,-0.969064741,4.8333333333,0.2608695652,0.25,0,crafts,town,yes,true,6,b,true,true
1000012,0,0,212.94,0,34.98,35.49,-0.113757284,0,145.50093288,0,0,0,0,0,0,24.25015548,2.4900978544,11.5,4.75,5,0,,,yes,true,9,a,true,false
1000022,0,0,183.33,0,56.25,61.11,0.8047455689,0,4331.8931532,0,0,0,0,24.333333333,20,1443.9643844,51.761319523,643.33333333,2.6346516008,2.6303030303,0,,suburban,yes,false,5,de,true,false
1000034,15.210662883,12.63498702,126.78,14.269627077,16.99,21.13,-0.653571994,0,270.97080829,0,0,0,0,1.3333333333,1,45.161801382,-0.969086043,20.833333333,0.5060240964,0.4615384615,0,professional,town,yes,false,7,a,true,true
1000046,3.006344929,2.729054572,119.92,2.8676997505,54.98,59.96,1.7690900777,9,1357.1805276,4.5,9,0,0,17.5,17,678.59026378,15.557663953,184.5,2.4166666667,2.4,0,professional,suburban,no,false,9,b,true,false
1000056,0,0,206.01,0,50,51.5025,-0.163639366,0,405.47380901,0,0,0,0,0,0,101.36845225,-0.845674435,29.5,1.8780487805,1.8181818182,0,,town,unknown,false,0,b,false,true
1000063,0,0,546.27,0,75,91.045,0.8100691017,0,2038.0371688,0,0,0,0,3.8333333333,4,339.67286146,2.2740825701,229.16666667,8.6830985915,8.75,0,,suburban,no,false,6,b,true,false
1000069,0,0,299.95,0,59.99,59.99,-0.345658813,0,1932.6037938,0,0,0.6,1,4.2,4,386.52075875,0.1779881983,157.6,2.4112554113,2.4081632653,0,professional,suburban,yes,true,6,a,true,false
1000085,4.9413085011,4.49833102,555.34,4.7724142405,75,92.556666667,0.4772462077,0,8164.0296251,0,0,0,0,7.8333333333,8,1360.6716042,2.0069295837,490.83333333,14.025510204,13.8,2,,town,yes,false,7,a,true,false
